,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
0,MI,G2601070,Cadillac Wexford Co Ap,726384,44.28,-85.42,49601
1,MI,G2601090,Menominee  Awos,726487,45.13,-87.63,49858
2,MI,G2601110,Saginaw Tri City Intl Ap,726379,43.53,-84.08,
3,MI,G2601130,Cadillac Wexford Co Ap,726384,44.28,-85.42,49601
4,MI,G2601150,Detroit Willow Run Ap,725376,42.23,-83.53,48111
5,MI,G2601170,Grand Rapids Kent County Int,726350,42.88,-85.52,49512
6,MI,G2601190,Alpena County Regional Ap,726390,45.07,-83.58,49744
7,MI,G2601210,Muskegon County Arpt,726360,43.17,-86.23,49441
8,MI,G2601230,Cadillac Wexford Co Ap,726384,44.28,-85.42,49601
9,MI,G2601250,Oakland Co Intl,726375,42.67,-83.42,48386
10,MI,G2601270,Manistee  Awos,726385,44.27,-86.25,49660
11,MI,G2601290,Houghton Lake Roscommon Co Ar,726380,44.37,-84.68,
12,MI,G2601310,Ironwood  Awos,727445,46.53,-90.13,49938
13,MI,G2601330,Cadillac Wexford Co Ap,726384,44.28,-85.42,49601
14,MI,G2601350,Houghton Lake Roscommon Co Ar,726380,44.37,-84.68,
15,MI,G2601370,Pellston Emmet County Ap,727347,45.57,-84.78,49769
16,MI,G2601390,Muskegon County Arpt,726360,43.17,-86.23,49441
17,MI,G2601410,Alpena County Regional Ap,726390,45.07,-83.58,49744
18,MI,G2601430,Houghton Lake Roscommon Co Ar,726380,44.37,-84.68,
19,MI,G2601450,Saginaw Tri City Intl Ap,726379,43.53,-84.08,
20,MI,G2601470,St Clair County Int,725384,42.92,-82.53,48074
21,MI,G2601490,Kalamazoo Battle Cr,726357,42.23,-85.55,49002
22,MI,G2601510,Oscoda Wurtsmith Afb,726395,44.45,-83.4,48750
23,MI,G2601530,Chippewa Co Intl,727344,46.25,-84.47,49788
24,MI,G2601550,Howell,725378,42.63,-83.98,
25,MI,G2601570,Flint Bishop Intl Arpt,726370,42.97,-83.75,48507
26,MI,G2601590,Benton Harbor Ross,726355,42.13,-86.43,49022
27,MI,G2601610,Ann Arbor Municipal,725374,42.22,-83.75,48108
28,MI,G2601630,Detroit Metropolitan Arpt,725370,42.22,-83.35,48174
29,MI,G2601650,Cadillac Wexford Co Ap,726384,44.28,-85.42,49601
30,MN,G2700010,Aitkin Ndb Awos,727504,46.55,-93.68,56431
31,MN,G2700030,Minneapolis Crystal,726575,45.07,-93.35,55429
32,MN,G2700050,Detroit Lakes Awos,727457,46.83,-95.88,
33,MN,G2700070,Bemidji Municipal,727550,47.5,-94.93,56601
34,MN,G2700090,St Cloud Regional Arpt,726550,45.55,-94.05,56304
35,MN,G2700110,Wheaton Ndb  Awos,727533,45.7,-96.5,
36,MN,G2700130,Mankato Awos,726585,44.22,-93.92,56001
37,MN,G2700150,New Ulm Muni  Awos,726567,44.32,-94.5,56073
38,MN,G2700170,Cloquet  Awos,726558,46.7,-92.5,55720
39,MN,G2700190,Flying Cloud,726579,44.82,-93.45,55347
40,MN,G2700210,Brainerd Wieland,726555,46.4,-94.13,56401
41,MN,G2700230,Benson Muni,727507,45.32,-95.65,
42,MN,G2700250,Cambridge Muni,727503,45.57,-93.27,55008
43,ND,G2700270,Fargo Hector International Ap,727530,46.93,-96.82,58105
44,MN,G2700290,Fosston Awos,727505,47.58,-95.77,56556
45,MN,G2700310,Silver Bay,727556,47.2,-91.4,
46,MN,G2700330,Worthington  Awos,726587,43.65,-95.58,56119
47,MN,G2700350,Brainerd Wieland,726555,46.4,-94.13,56401
48,MN,G2700370,South St Paul Muni,726603,44.85,-93.15,55121
49,MN,G2700390,Rochester International Arpt,726440,43.9,-92.5,
50,MN,G2700410,Alexandria Municipal Ap,726557,45.88,-95.4,56308
51,MN,G2700430,Fairmont Muni Awos,726586,43.65,-94.42,56039
52,MN,G2700450,Rochester International Arpt,726440,43.9,-92.5,
53,MN,G2700470,Albert Lea  Awos,726589,43.68,-93.37,56007
54,MN,G2700490,Red Wing,726564,44.58,-92.48,
55,MN,G2700510,Fergus Falls Awos,726560,46.28,-96.15,56537
56,MN,G2700530,Minneapolis Crystal,726575,45.07,-93.35,55429
57,WI,G2700550,La Crosse Municipal Arpt,726430,43.87,-91.25,54603
58,MN,G2700570,Park Rapids Municipal Ap,727453,46.9,-95.07,
59,MN,G2700590,Cambridge Muni,727503,45.57,-93.27,55008
60,MN,G2700610,Grand Rapids Awos,727458,47.22,-93.52,55744
61,IA,G2700630,Estherville Muni,726499,43.4,-94.75,51334
62,MN,G2700650,Mora Muni  Awos,727475,45.88,-93.27,55051
63,MN,G2700670,Willmar,726576,45.12,-95.08,56201
64,MN,G2700690,Hallock,727478,48.78,-96.95,56728
65,MN,G2700710,International Falls Intl Ap,727470,48.57,-93.4,56669
66,MN,G2700730,Benson Muni,727507,45.32,-95.65,
67,MN,G2700750,Silver Bay,727556,47.2,-91.4,
68,MN,G2700770,Baudette International Ap,727476,48.72,-94.6,
69,MN,G2700790,Mankato Awos,726585,44.22,-93.92,56001
70,MN,G2700810,Pipestone  Awos,726566,43.98,-96.32,56164
71,MN,G2700830,Marshall Ryan Awos,726559,44.45,-95.82,56258
72,MN,G2700850,Hutchinson  Awos,726569,44.87,-94.38,55350
73,MN,G2700870,Fosston Awos,727505,47.58,-95.77,56556
74,MN,G2700890,Thief River Awos,727555,48.07,-96.18,56701
75,MN,G2700910,Fairmont Muni Awos,726586,43.65,-94.42,56039
76,MN,G2700930,Litchfield Muni,726583,45.1,-94.5,55355
77,MN,G2700950,Mora Muni  Awos,727475,45.88,-93.27,55051
78,MN,G2700970,Little Falls  Awos,726578,45.95,-94.35,56345
79,MN,G2700990,Austin Muni,727566,43.67,-92.93,55912
80,MN,G2701010,Worthington  Awos,726587,43.65,-95.58,56119
81,MN,G2701030,Mankato Awos,726585,44.22,-93.92,56001
82,MN,G2701050,Worthington  Awos,726587,43.65,-95.58,56119
83,ND,G2701070,Fargo Hector International Ap,727530,46.93,-96.82,58105
84,MN,G2701090,Rochester International Arpt,726440,43.9,-92.5,
85,MN,G2701110,Fergus Falls Awos,726560,46.28,-96.15,56537
86,MN,G2701130,Thief River Awos,727555,48.07,-96.18,56701
87,MN,G2701150,Crane Lake  Awos,727473,46.27,-92.57,55712
88,MN,G2701170,Pipestone  Awos,726566,43.98,-96.32,56164
89,MN,G2701190,Crookston Muni Fld,727452,47.85,-96.62,56723
90,MN,G2701210,Glenwood  Asos,726547,45.65,-95.32,
91,MN,G2701230,St Paul Downtown Ap,726584,44.93,-93.05,55106
92,MN,G2701250,Thief River Awos,727555,48.07,-96.18,56701
93,MN,G2701270,Redwood Falls Muni,726556,44.55,-95.08,56283
94,MN,G2701290,Redwood Falls Muni,726556,44.55,-95.08,56283
95,MN,G2701310,Faribault Muni Awos,726563,44.33,-93.32,55021
96,MN,G2701330,Pipestone  Awos,726566,43.98,-96.32,56164
97,MN,G2701350,Roseau Muni  Awos,727477,48.85,-95.7,56751
98,MN,G2701370,Duluth International Arpt,727450,46.83,-92.22,55811
