,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
0,MO,G2901710,Kirksville Regional Ap,724455,40.1,-92.55,
1,IL,G2901730,Quincy Muni Baldwin Fld,724396,39.93,-91.2,62338
2,MO,G2901750,Columbia Regional Airport,724450,38.82,-92.22,65201
3,MO,G2901770,Kansas City Downtown Ap,724463,39.12,-94.6,64105
4,MO,G2901790,Farmington,724454,37.77,-90.4,
5,MO,G2901810,Poplar Bluff Amos,723300,36.77,-90.47,63901
6,MO,G2901830,St Louis Spirit Of St Louis A,724345,38.65,-90.65,63005
7,MO,G2901850,Whiteman Afb,724467,38.72,-93.55,65305
8,MO,G2901870,Farmington,724454,37.77,-90.4,
9,MO,G2901890,St Louis Lambert IntL Arpt,724340,38.75,-90.37,63145
10,MO,G2901950,Whiteman Afb,724467,38.72,-93.55,65305
11,MO,G2901970,Kirksville Regional Ap,724455,40.1,-92.55,
12,MO,G2901990,Kirksville Regional Ap,724455,40.1,-92.55,
13,MO,G2902010,Cape Girardeau Municipal Ap,723489,37.23,-89.57,63780
14,MO,G2902030,Ft Lnrd Wd Aaf,724457,37.75,-92.15,65473
15,MO,G2902050,Columbia Regional Airport,724450,38.82,-92.22,65201
16,MO,G2902070,Poplar Bluff Amos,723300,36.77,-90.47,63901
17,MO,G2902090,Springfield Regional Arpt,724400,37.23,-93.38,
18,MO,G2902110,Kirksville Regional Ap,724455,40.1,-92.55,
19,AR,G2902130,Harrison Faa Ap,723446,36.27,-93.15,72601
20,MO,G2902150,Ft Lnrd Wd Aaf,724457,37.75,-92.15,65473
21,MO,G2902170,Joplin Municipal Ap,723495,37.15,-94.5,64870
22,MO,G2902190,St Louis Spirit Of St Louis A,724345,38.65,-90.65,63005
23,MO,G2902210,Farmington,724454,37.77,-90.4,
24,MO,G2902230,Poplar Bluff Amos,723300,36.77,-90.47,63901
25,MO,G2902250,Springfield Regional Arpt,724400,37.23,-93.38,
26,IA,G2902270,Creston,725474,41.02,-94.37,50801
27,MO,G2902290,Ft Lnrd Wd Aaf,724457,37.75,-92.15,65473
28,MT,G3000010,Butte Bert Mooney Arpt,726785,45.95,-112.5,59701
29,WY,G3000030,Sheridan County Arpt,726660,44.77,-106.97,82801
30,MT,G3000050,Havre City County Ap,727770,48.55,-109.77,
31,MT,G3000070,Helena Regional Airport,727720,46.6,-111.97,59601
32,MT,G3000090,Billings Logan IntL Arpt,726770,45.8,-108.55,59102
33,MT,G3000110,Glendive Awos,726676,47.13,-104.8,59330
34,MT,G3000130,Great Falls Intl Arpt,727750,47.47,-111.38,59404
35,MT,G3000150,Havre City County Ap,727770,48.55,-109.77,
36,MT,G3000170,Miles City Municipal Arpt,742300,46.43,-105.88,
37,MT,G3000190,Wolf Point Intl  Fort Peck   S,727686,48.31,-105.1,
38,MT,G3000210,Glendive Awos,726676,47.13,-104.8,59330
39,MT,G3000230,Butte Bert Mooney Arpt,726785,45.95,-112.5,59701
40,MT,G3000250,Glendive Awos,726676,47.13,-104.8,59330
41,MT,G3000270,Lewistown Municipal Arpt,726776,47.05,-109.45,59457
42,MT,G3000290,Kalispell Glacier Pk IntL Ar,727790,48.32,-114.25,
43,MT,G3000310,Bozeman Gallatin Field,726797,45.8,-111.15,59714
44,MT,G3000330,Glasgow Intl Arpt,727680,48.22,-106.62,
45,MT,G3000350,Cut Bank Muni Ap,727796,48.6,-112.37,59427
46,MT,G3000370,Billings Logan IntL Arpt,726770,45.8,-108.55,59102
47,MT,G3000390,Missoula International Ap,727730,46.92,-114.1,
48,MT,G3000410,Havre City County Ap,727770,48.55,-109.77,
49,MT,G3000430,Helena Regional Airport,727720,46.6,-111.97,59601
50,MT,G3000450,Lewistown Municipal Arpt,726776,47.05,-109.45,59457
51,MT,G3000470,Missoula International Ap,727730,46.92,-114.1,
52,MT,G3000490,Helena Regional Airport,727720,46.6,-111.97,59601
53,MT,G3000510,Great Falls Intl Arpt,727750,47.47,-111.38,59404
54,MT,G3000530,Kalispell Glacier Pk IntL Ar,727790,48.32,-114.25,
55,MT,G3000550,Wolf Point Intl  Fort Peck   S,727686,48.31,-105.1,
56,MT,G3000570,Butte Bert Mooney Arpt,726785,45.95,-112.5,59701
57,MT,G3000590,Bozeman Gallatin Field,726797,45.8,-111.15,59714
58,MT,G3000610,Missoula International Ap,727730,46.92,-114.1,
59,MT,G3000630,Missoula International Ap,727730,46.92,-114.1,
60,MT,G3000650,Billings Logan IntL Arpt,726770,45.8,-108.55,59102
61,MT,G3000670,Livingston Mission Field,726798,45.7,-110.45,
62,MT,G3000690,Lewistown Municipal Arpt,726776,47.05,-109.45,59457
63,MT,G3000710,Glasgow Intl Arpt,727680,48.22,-106.62,
64,MT,G3000730,Cut Bank Intl AP,727690,48.6,-112.367,59427
65,MT,G3000750,Miles City Municipal Arpt,742300,46.43,-105.88,
66,MT,G3000770,Butte Bert Mooney Arpt,726785,45.95,-112.5,59701
67,MT,G3000790,Glendive Awos,726676,47.13,-104.8,59330
68,MT,G3000810,Missoula International Ap,727730,46.92,-114.1,
69,MT,G3000830,Sidney Richland,727687,47.7,-104.2,59270
70,MT,G3000850,Wolf Point Intl  Fort Peck   S,727686,48.31,-105.1,
71,MT,G3000870,Miles City Municipal Arpt,742300,46.43,-105.88,
72,MT,G3000890,Kalispell Glacier Pk IntL Ar,727790,48.32,-114.25,
73,ND,G3000910,Williston Sloulin Intl Ap,727670,48.2,-103.65,58801
74,MT,G3000930,Butte Bert Mooney Arpt,726785,45.95,-112.5,59701
75,MT,G3000950,Billings Logan IntL Arpt,726770,45.8,-108.55,59102
76,MT,G3000970,Livingston Mission Field,726798,45.7,-110.45,
