,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
0,AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112
1,AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605
2,GA,G0100050,Fort Benning Lawson,722250,32.35,-85.0,36856
3,AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
4,AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217
5,AL,G0100110,Troy Af,722267,31.87,-86.02,
6,AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043
7,AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
8,AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801
9,AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904
10,AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112
11,MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307
12,MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307
13,AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
14,AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
15,AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
16,AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
17,AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043
18,AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112
19,AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
20,AL,G0100410,Troy Af,722267,31.87,-86.02,
21,AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
22,AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
23,AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043
24,AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904
25,AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112
26,AL,G0100530,Troy Af,722267,31.87,-86.02,
27,AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904
28,AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
29,AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
30,AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
31,AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
32,AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
