,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
971,KY,G2100170,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
972,WV,G2100190,Huntington Tri State Arpt,724250,38.38,-82.55,25530
973,KY,G2100210,Somerset Awos,724354,38.0,-84.6,40513
974,OH,G2100230,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
975,KY,G2100250,Jackson Julian Carroll Ap,724236,37.58,-83.32,
976,KY,G2100270,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
977,KY,G2100290,Louisville Standiford Field,724230,38.18,-85.73,40213
978,KY,G2100310,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
979,KY,G2100330,Fort Campbell Aaf,746710,36.67,-87.48,42223
980,KY,G2100350,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
981,OH,G2100370,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
982,KY,G2100390,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
983,KY,G2100410,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
984,WV,G2100430,Huntington Tri State Arpt,724250,38.38,-82.55,25530
985,KY,G2100450,Somerset Awos,724354,38.0,-84.6,40513
986,KY,G2100470,Fort Campbell Aaf,746710,36.67,-87.48,42223
987,KY,G2100490,Somerset Awos,724354,38.0,-84.6,40513
988,KY,G2100510,London Corbin Ap,724243,37.08,-84.08,40744
989,TN,G2100530,Crossville Meml AP-Whitson Field,723250,35.95,-85.083,38555
990,KY,G2100550,Henderson City,724238,37.82,-87.68,42420
991,TN,G2100570,Crossville Meml AP-Whitson Field,723250,35.95,-85.083,38555
992,IN,G2100590,Huntingburg,724365,38.25,-86.95,47542
993,KY,G2100610,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
994,KY,G2100630,Jackson-Carroll AP,724190,37.583,-83.317,
995,KY,G2100650,London Corbin Ap,724243,37.08,-84.08,40744
996,KY,G2100670,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
997,KY,G2100690,Jackson-Carroll AP,724190,37.583,-83.317,
998,KY,G2100710,Jackson-Carroll AP,724190,37.583,-83.317,
999,KY,G2100730,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1000,KY,G2100750,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1001,KY,G2100770,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
1002,KY,G2100790,Somerset Awos,724354,38.0,-84.6,40513
1003,KY,G2100810,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
1004,KY,G2100830,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1005,KY,G2100850,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1006,KY,G2100870,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
1007,WV,G2100890,Huntington Tri State Arpt,724250,38.38,-82.55,25530
1008,IN,G2100910,Huntingburg,724365,38.25,-86.95,47542
1009,KY,G2100930,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
1010,VA,G2100950,Wise Lonesome Pine,724117,36.98,-82.53,24293
1011,KY,G2100970,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1012,KY,G2100990,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1013,KY,G2101010,Henderson City,724238,37.82,-87.68,42420
1014,KY,G2101030,Louisville Bowman Field,724235,38.23,-85.67,40205
1015,KY,G2101050,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1016,KY,G2101070,Henderson City,724238,37.82,-87.68,42420
1017,KY,G2101090,London Corbin Ap,724243,37.08,-84.08,40744
1018,KY,G2101110,Louisville Bowman Field,724235,38.23,-85.67,40205
1019,KY,G2101130,Somerset Awos,724354,38.0,-84.6,40513
1020,KY,G2101150,Jackson-Carroll AP,724190,37.583,-83.317,
1021,KY,G2101170,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
1022,KY,G2101190,Jackson-Carroll AP,724190,37.583,-83.317,
1023,KY,G2101210,London Corbin Ap,724243,37.08,-84.08,40744
1024,KY,G2101230,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
1025,KY,G2101250,London Corbin Ap,724243,37.08,-84.08,40744
1026,WV,G2101270,Huntington Tri State Arpt,724250,38.38,-82.55,25530
1027,KY,G2101290,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1028,KY,G2101310,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1029,VA,G2101330,Wise Lonesome Pine,724117,36.98,-82.53,24293
1030,WV,G2101350,Huntington Tri State Arpt,724250,38.38,-82.55,25530
1031,KY,G2101370,Somerset Awos,724354,38.0,-84.6,40513
1032,KY,G2101390,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1033,KY,G2101410,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1034,KY,G2101430,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1035,KY,G2101450,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1036,KY,G2101470,London Corbin Ap,724243,37.08,-84.08,40744
1037,KY,G2101490,Henderson City,724238,37.82,-87.68,42420
1038,KY,G2101510,Somerset Awos,724354,38.0,-84.6,40513
1039,KY,G2101530,Jackson-Carroll AP,724190,37.583,-83.317,
1040,KY,G2101550,Louisville Standiford Field,724230,38.18,-85.73,40213
1041,KY,G2101570,Paducah Barkley Regional Ap,724350,37.05,-88.77,42086
1042,WV,G2101590,Huntington Tri State Arpt,724250,38.38,-82.55,25530
1043,OH,G2101610,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
1044,KY,G2101630,Fort Knox Godman Aaf,724240,37.9,-85.97,40121
1045,KY,G2101650,Jackson-Carroll AP,724190,37.583,-83.317,
1046,KY,G2101670,Somerset Awos,724354,38.0,-84.6,40513
1047,KY,G2101690,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1048,KY,G2101710,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1049,KY,G2101730,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1050,KY,G2101750,Jackson-Carroll AP,724190,37.583,-83.317,
1051,KY,G2101770,Fort Campbell Aaf,746710,36.67,-87.48,42223
1052,KY,G2101790,Louisville Standiford Field,724230,38.18,-85.73,40213
1053,KY,G2101810,Lexington Bluegrass Ap,724220,38.03,-84.6,40510
1054,KY,G2101830,Bowling Green Warren Co Ap,746716,36.98,-86.43,42103
1055,KY,G2101850,Louisville Bowman Field,724235,38.23,-85.67,40205
1056,KY,G2101870,Cincinnati Northern Ky Ap,724210,39.05,-84.67,41005
1057,KY,G2101890,Jackson Julian Carroll Ap,724236,37.58,-83.32,
1058,OH,G2101910,Cincinnati Municipal Ap Lunki,724297,39.1,-84.42,45226
