,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS
21,AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,"=""01043"""
22,AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,"=""01045"""
23,AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01047"""
24,AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,"=""01049"""
25,AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112.0,"=""01051"""
26,AL,G0100530,Troy Af,722267,31.87,-86.02,,"=""01053"""
27,AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,"=""01055"""
28,AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01057"""
29,AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01059"""
30,AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,"=""01061"""
31,AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01063"""
32,AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01065"""
33,AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301.0,"=""01067"""
34,AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301.0,"=""01069"""
35,AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,"=""01071"""
36,AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,"=""01073"""
37,MS,G0100750,Columbus Afb,723306,33.65,-88.45,,"=""01075"""
38,AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01077"""
39,AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01079"""
40,AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,"=""01081"""
41,AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,"=""01083"""
42,AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01085"""
43,AL,G0100870,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,"=""01087"""
44,AL,G0100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,"=""01089"""
45,MS,G0100910,Meridian Naas,722345,32.55,-88.57,39309.0,"=""01091"""
46,AL,G0100930,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01093"""
47,AL,G0100950,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,"=""01095"""
48,AL,G0100970,Mobile Regional Ap,722230,30.68,-88.25,36608.0,"=""01097"""
49,AL,G0100990,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01099"""
50,AL,G0101010,Maxwell Afb,722265,32.38,-86.35,36112.0,"=""01101"""
51,AL,G0101030,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,"=""01103"""
52,AL,G0101050,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01105"""
53,AL,G0101070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01107"""
54,AL,G0101090,Troy Af,722267,31.87,-86.02,,"=""01109"""
55,AL,G0101110,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,"=""01111"""
56,GA,G0101130,Fort Benning Lawson,722250,32.35,-85.0,36856.0,"=""01113"""
57,AL,G0101150,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,"=""01115"""
58,AL,G0101170,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,"=""01117"""
59,MS,G0101190,Meridian Naas,722345,32.55,-88.57,39309.0,"=""01119"""
60,AL,G0101210,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,"=""01121"""
61,AL,G0101230,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,"=""01123"""
62,AL,G0101250,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01125"""
63,AL,G0101270,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,"=""01127"""
64,AL,G0101290,Mobile Regional Ap,722230,30.68,-88.25,36608.0,"=""01129"""
65,AL,G0101310,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01131"""
66,AL,G0101330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01133"""
67,AK,G0200130,Cold Bay Arpt,703160,55.2,-162.72,99571.0,"=""02013"""
68,AK,G0200160,Dutch Harbor,704890,53.9,-166.55,99692.0,"=""02016"""
69,AK,G0200200,Anchorage Elmendorf,702720,61.25,-149.8,99506.0,"=""02020"""
70,AK,G0200500,Bethel Airport,702190,60.78,-161.83,99559.0,"=""02050"""
71,AK,G0200600,King Salmon Arpt,703260,58.68,-156.65,,"=""02060"""
72,AK,G0200680,Healy River Airport,702647,63.88,-149.02,99743.0,"=""02068"""
73,AK,G0200700,Dillingham  Amos,703210,59.05,-158.52,,"=""02070"""
74,AK,G0200900,Fairbanks Intl Arpt,702610,64.82,-147.85,99709.0,"=""02090"""
75,AK,G0201100,Juneau IntL Arpt,703810,58.35,-134.58,99801.0,"=""02110"""
76,AK,G0201220,Soldotna,702595,60.47,-151.03,,"=""02122"""
77,AK,G0201300,Ketchikan Intl Ap,703950,55.37,-131.72,99901.0,"=""02130"""
78,AK,G0201500,Kodiak Airport,703500,57.75,-152.5,99619.0,"=""02150"""
79,AK,G0201640,King Salmon Arpt,703260,58.68,-156.65,,"=""02164"""
80,AK,G0201700,Birchwood,702746,61.42,-149.52,,"=""02170"""
81,AK,G0201800,Nome Municipal Arpt,702000,64.52,-165.45,,"=""02180"""
82,AK,G0201850,Barrow W Post W Rogers Arpt  N,700260,71.32,-156.62,,"=""02185"""
83,AK,G0201880,Kotzebue Ralph Wein Memorial,701330,66.88,-162.6,,"=""02188"""
84,AK,G0202200,Sitka Japonski Ap,703710,57.05,-135.37,99835.0,"=""02220"""
85,AK,G0202400,Big Delta Allen Aaf,702670,64.0,-145.72,99731.0,"=""02240"""
86,AK,G0202610,Valdez Pioneer Fiel,702756,61.13,-146.27,,"=""02261"""
87,NM,G0400010,Gallup Sen Clarke Fld,723627,35.52,-108.78,87301.0,"=""04001"""
88,AZ,G0400030,Douglas Bisbee Douglas Intl A,722735,31.47,-109.6,,"=""04003"""
89,AZ,G0400050,Flagstaff Pulliam Arpt,723755,35.13,-111.67,86005.0,"=""04005"""
90,AZ,G0400070,Prescott Love Field,723723,34.65,-112.42,,"=""04007"""
91,AZ,G0400090,Safford  Amos,722747,32.82,-109.68,85548.0,"=""04009"""
92,AZ,G0400110,Safford  Amos,722747,32.82,-109.68,85548.0,"=""04011"""
93,CA,G0400120,Blythe Riverside Co Arpt,747188,33.62,-114.72,,"=""04012"""
94,AZ,G0400130,Phoenix Sky Harbor Intl Ap,722780,33.45,-111.98,85034.0,"=""04013"""
95,AZ,G0400150,Kingman  Amos,723700,35.27,-113.95,,"=""04015"""
96,AZ,G0400170,Winslow Municipal Ap,723740,35.03,-110.72,86247.0,"=""04017"""
97,AZ,G0400190,Tucson International Ap,722740,32.13,-110.95,85706.0,"=""04019"""
98,AZ,G0400210,Casa Granda  Awos,722748,32.95,-111.77,8512.0,"=""04021"""
99,AZ,G0400230,Bisbee Douglas Intl AP,722720,31.467,-109.6,,"=""04023"""
100,AZ,G0400250,Prescott Love Field,723723,34.65,-112.42,,"=""04025"""
101,AZ,G0400270,Yuma Intl Arpt,722800,32.67,-114.6,85365.0,"=""04027"""
102,AR,G0500010,Stuttgart  Awos,723416,34.6,-91.57,,"=""05001"""
103,LA,G0500030,Monroe Regional Ap,722486,32.52,-92.03,71211.0,"=""05003"""
104,AR,G0500050,Flippin  Awos,723447,36.3,-92.47,72635.0,"=""05005"""
105,AR,G0500070,Bentonville  Awos,723444,36.35,-94.22,72712.0,"=""05007"""
106,AR,G0500090,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601.0,"=""05009"""
107,AR,G0500110,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05011"""
108,AR,G0500130,El Dorado Goodwin Field,723419,33.22,-92.82,,"=""05013"""
109,AR,G0500150,Harrison Faa Ap,723446,36.27,-93.15,72601.0,"=""05015"""
110,MS,G0500170,Greenville Municipal,722356,33.48,-90.98,38782.0,"=""05017"""
111,AR,G0500190,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05019"""
112,AR,G0500210,Walnut Ridge  Awos,723406,36.13,-90.92,,"=""05021"""
113,AR,G0500230,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05023"""
114,AR,G0500250,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05025"""
115,AR,G0500270,El Dorado Goodwin Field,723419,33.22,-92.82,,"=""05027"""
116,AR,G0500290,Little Rock Afb,723405,34.92,-92.15,72099.0,"=""05029"""
117,AR,G0500310,Jonesboro Muni,723407,35.83,-90.65,72401.0,"=""05031"""
118,AR,G0500330,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05033"""
119,TN,G0500350,Memphis International Ap,723340,35.07,-89.98,38131.0,"=""05035"""
120,AR,G0500370,Jonesboro Muni,723407,35.83,-90.65,72401.0,"=""05037"""
121,AR,G0500390,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05039"""
122,MS,G0500410,Greenville Municipal,722356,33.48,-90.98,38782.0,"=""05041"""
123,AR,G0500430,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05043"""
124,AR,G0500450,Little Rock Afb,723405,34.92,-92.15,72099.0,"=""05045"""
125,AR,G0500470,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05047"""
126,AR,G0500490,Flippin  Awos,723447,36.3,-92.47,72635.0,"=""05049"""
127,AR,G0500510,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05051"""
128,AR,G0500530,Little Rock Adams Field,723403,34.75,-92.23,72114.0,"=""05053"""
129,AR,G0500550,Jonesboro Muni,723407,35.83,-90.65,72401.0,"=""05055"""
130,AR,G0500570,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05057"""
131,AR,G0500590,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05059"""
132,AR,G0500610,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05061"""
133,AR,G0500630,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05063"""
134,AR,G0500650,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05065"""
135,AR,G0500670,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05067"""
136,AR,G0500690,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05069"""
137,AR,G0500710,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05071"""
138,AR,G0500730,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05073"""
139,AR,G0500750,Walnut Ridge  Awos,723406,36.13,-90.92,,"=""05075"""
140,AR,G0500770,Stuttgart  Awos,723416,34.6,-91.57,,"=""05077"""
141,AR,G0500790,Pine Bluff Faa Ap,723417,34.17,-91.93,,"=""05079"""
142,AR,G0500810,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05081"""
143,AR,G0500830,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05083"""
144,AR,G0500850,Little Rock Afb,723405,34.92,-92.15,72099.0,"=""05085"""
145,AR,G0500870,Springdale Muni,723434,36.18,-94.12,72764.0,"=""05087"""
146,AR,G0500890,Flippin  Awos,723447,36.3,-92.47,72635.0,"=""05089"""
147,AR,G0500910,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05091"""
148,TN,G0500930,Dyersburg Municipal Ap,723347,36.02,-89.4,38024.0,"=""05093"""
149,AR,G0500950,Stuttgart  Awos,723416,34.6,-91.57,,"=""05095"""
150,AR,G0500970,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05097"""
151,AR,G0500990,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05099"""
152,AR,G0501010,Harrison-Boone County Rgnl AP,723450,36.267,-93.15,72601.0,"=""05101"""
153,AR,G0501030,El Dorado Goodwin Field,723419,33.22,-92.82,,"=""05103"""
154,AR,G0501050,Little Rock Adams Field,723403,34.75,-92.23,72114.0,"=""05105"""
155,AR,G0501070,Stuttgart  Awos,723416,34.6,-91.57,,"=""05107"""
156,AR,G0501090,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05109"""
157,AR,G0501110,Jonesboro Muni,723407,35.83,-90.65,72401.0,"=""05111"""
158,AR,G0501130,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05113"""
159,AR,G0501150,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05115"""
160,AR,G0501170,Stuttgart  Awos,723416,34.6,-91.57,,"=""05117"""
161,AR,G0501190,Little Rock Adams Field,723403,34.75,-92.23,72114.0,"=""05119"""
162,AR,G0501210,Walnut Ridge  Awos,723406,36.13,-90.92,,"=""05121"""
163,TN,G0501230,Memphis International Ap,723340,35.07,-89.98,38131.0,"=""05123"""
164,AR,G0501250,Little Rock Adams Field,723403,34.75,-92.23,72114.0,"=""05125"""
165,AR,G0501270,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05127"""
166,AR,G0501290,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05129"""
167,AR,G0501310,Fort Smith Regional Ap,723440,35.33,-94.37,72903.0,"=""05131"""
168,AR,G0501330,Texarkana Webb Field,723418,33.45,-94.0,71854.0,"=""05133"""
169,AR,G0501350,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05135"""
170,AR,G0501370,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05137"""
171,AR,G0501390,El Dorado Goodwin Field,723419,33.22,-92.82,,"=""05139"""
172,AR,G0501410,Little Rock Afb,723405,34.92,-92.15,72099.0,"=""05141"""
173,AR,G0501430,Fayetteville Drake Field,723445,36.0,-94.17,72703.0,"=""05143"""
174,AR,G0501450,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05145"""
175,AR,G0501470,Batesville  Awos,723448,35.73,-91.65,72501.0,"=""05147"""
176,AR,G0501490,Memorial Fld,723415,34.47,-93.1,71913.0,"=""05149"""
177,CA,G0600010,Hayward Air Term,724935,37.67,-122.12,94541.0,"=""06001"""
178,CA,G0600030,South Lake Tahoe,725847,38.9,-120.0,96150.0,"=""06003"""
179,CA,G0600050,South Lake Tahoe,725847,38.9,-120.0,96150.0,"=""06005"""
180,CA,G0600070,Yuba Co,724838,39.1,-121.57,95961.0,"=""06007"""
181,CA,G0600090,South Lake Tahoe,725847,38.9,-120.0,96150.0,"=""06009"""
182,CA,G0600110,Yuba Co,724838,39.1,-121.57,95961.0,"=""06011"""
183,CA,G0600130,Concord Concord Buchanan Fiel,724936,38.0,-122.05,94520.0,"=""06013"""
184,CA,G0600150,Crescent City Faa Ai,725946,41.78,-124.23,,"=""06015"""
185,CA,G0600170,South Lake Tahoe,725847,38.9,-120.0,96150.0,"=""06017"""
186,CA,G0600190,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727.0,"=""06019"""
187,CA,G0600210,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080.0,"=""06021"""
188,CA,G0600230,Arcata Airport,725945,40.98,-124.1,95519.0,"=""06023"""
189,CA,G0600250,Imperial,747185,32.83,-115.58,92251.0,"=""06025"""
190,CA,G0600270,Bishop Airport,724800,37.37,-118.35,93515.0,"=""06027"""
191,CA,G0600290,Bakersfield Meadows Field,723840,35.43,-119.05,93302.0,"=""06029"""
192,CA,G0600310,Lemoore Reeves Nas,747020,36.33,-119.95,,"=""06031"""
193,CA,G0600330,Santa Rosa  Awos,724957,38.52,-122.82,95492.0,"=""06033"""
194,CA,G0600350,Alturas,725958,41.5,-120.53,,"=""06035"""
195,CA,G0600370,Jack Northrop Fld H,722956,33.92,-118.33,90250.0,"=""06037"""
196,CA,G0600390,Fresno Yosemite Intl Ap,723890,36.78,-119.72,93727.0,"=""06039"""
197,CA,G0600410,Napa Co  Airport,724955,38.22,-122.28,94503.0,"=""06041"""
198,CA,G0600430,Merced Macready Fld,724815,37.28,-120.52,95341.0,"=""06043"""
199,CA,G0600450,Ukiah Municipal Ap,725905,39.13,-123.2,95482.0,"=""06045"""
200,CA,G0600470,Merced Macready Fld,724815,37.28,-120.52,95341.0,"=""06047"""
201,CA,G0600490,Alturas,725958,41.5,-120.53,,"=""06049"""
202,CA,G0600510,Bishop Airport,724800,37.37,-118.35,93515.0,"=""06051"""
203,CA,G0600530,Salinas Muni AP,725930,36.667,-121.6,93905.0,"=""06053"""
204,CA,G0600550,Napa Co  Airport,724955,38.22,-122.28,94503.0,"=""06055"""
205,CA,G0600570,Truckee Tahoe,725846,39.32,-120.13,,"=""06057"""
206,CA,G0600590,Santa Ana John Wayne Ap,722977,33.68,-117.87,92626.0,"=""06059"""
207,CA,G0600610,Beale Afb,724837,39.13,-121.43,95903.0,"=""06061"""
208,CA,G0600630,Truckee Tahoe,725846,39.32,-120.13,,"=""06063"""
209,CA,G0600650,March Afb,722860,33.9,-117.25,92518.0,"=""06065"""
210,CA,G0600670,Sacramento Executive Arpt,724830,38.5,-121.5,95822.0,"=""06067"""
211,CA,G0600690,Salinas Municipal Ap,724917,36.67,-121.6,93905.0,"=""06069"""
212,CA,G0600710,Riverside Muni,722869,33.95,-117.45,92504.0,"=""06071"""
213,CA,G0600730,San Diego Miramar Nas,722930,32.87,-117.13,92137.0,"=""06073"""
214,CA,G0600750,San Francisco Intl Ap,724940,37.62,-122.4,94066.0,"=""06075"""
215,CA,G0600770,Stockton Metropolitan Arpt,724920,37.9,-121.23,95213.0,"=""06077"""
216,CA,G0600790,San Luis Co Rgnl,722897,35.23,-120.63,93401.0,"=""06079"""
217,CA,G0600810,San Francisco Intl Ap,724940,37.62,-122.4,94066.0,"=""06081"""
218,CA,G0600830,Santa Barbara Municipal Ap,723925,34.43,-119.85,93117.0,"=""06083"""
219,CA,G0600850,San Jose Intl Ap,724945,37.37,-121.93,95110.0,"=""06085"""
220,CA,G0600870,San Jose Intl Ap,724945,37.37,-121.93,95110.0,"=""06087"""
221,CA,G0600890,Redding Municipal Arpt,725920,40.52,-122.32,,"=""06089"""
222,CA,G0600910,Truckee Tahoe,725846,39.32,-120.13,,"=""06091"""
223,CA,G0600930,Montague Siskiyou County Ap,725955,41.78,-122.47,,"=""06093"""
224,CA,G0600950,Travis Field Afb,745160,38.27,-121.93,94535.0,"=""06095"""
225,CA,G0600970,Santa Rosa  Awos,724957,38.52,-122.82,95492.0,"=""06097"""
226,CA,G0600990,Modesto City County Ap,724926,37.63,-120.95,95354.0,"=""06099"""
227,CA,G0601010,Yuba Co,724838,39.1,-121.57,95961.0,"=""06101"""
228,CA,G0601030,Red Bluff Municipal Arpt,725910,40.15,-122.25,96080.0,"=""06103"""
229,CA,G0601050,Redding Municipal Arpt,725920,40.52,-122.32,,"=""06105"""
230,CA,G0601070,Visalia Muni  Awos,723896,36.32,-119.4,93227.0,"=""06107"""
231,CA,G0601090,South Lake Tahoe,725847,38.9,-120.0,96150.0,"=""06109"""
232,CA,G0601110,Camarillo  Awos,723926,34.22,-119.08,93010.0,"=""06111"""
233,CA,G0601130,Sacramento Metropolitan Ap,724839,38.7,-121.58,95837.0,"=""06113"""
234,CA,G0601150,Yuba Co,724838,39.1,-121.57,95961.0,"=""06115"""
235,CO,G0800010,Aurora Buckley Field Angb,724695,39.72,-104.75,80018.0,"=""08001"""
236,CO,G0800030,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08003"""
237,CO,G0800050,Aurora Buckley Field Angb,724695,39.72,-104.75,80018.0,"=""08005"""
238,CO,G0800070,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08007"""
239,NM,G0800090,Clayton Municipal Airpark,723600,36.45,-103.15,,"=""08009"""
240,CO,G0800110,La Junta Municipal Ap,724635,38.05,-103.53,81030.0,"=""08011"""
241,CO,G0800130,Broomfield Jeffco  Boulder   S,724699,40.13,-105.24,80544.0,"=""08013"""
242,CO,G0800140,Denver Centennial  Golden   Nr,724666,39.74,-105.18,80401.0,"=""08014"""
243,CO,G0800150,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08015"""
244,CO,G0800170,Lamar Municipal,724636,38.07,-102.68,,"=""08017"""
245,CO,G0800190,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08019"""
246,CO,G0800210,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08021"""
247,NM,G0800230,Taos Muni Apt Awos,723663,36.45,-105.67,87529.0,"=""08023"""
248,CO,G0800250,La Junta Municipal Ap,724635,38.05,-103.53,81030.0,"=""08025"""
249,CO,G0800270,Pueblo Memorial Ap,724640,38.28,-104.5,81006.0,"=""08027"""
250,CO,G0800290,Montrose Co  Arpt,724765,38.5,-107.9,81401.0,"=""08029"""
251,CO,G0800310,Aurora Buckley Field Angb,724695,39.72,-104.75,80018.0,"=""08031"""
252,CO,G0800330,Cortez Montezuma Co,724767,37.3,-108.63,,"=""08033"""
253,CO,G0800350,Aurora Buckley Field Angb,724695,39.72,-104.75,80018.0,"=""08035"""
254,CO,G0800370,Eagle County Ap,724675,39.65,-106.92,81637.0,"=""08037"""
255,CO,G0800390,Aurora Buckley Field Angb,724695,39.72,-104.75,80018.0,"=""08039"""
256,CO,G0800410,Colorado Springs Muni Ap,724660,38.82,-104.72,80916.0,"=""08041"""
257,CO,G0800430,Colorado Springs Muni Ap,724660,38.82,-104.72,80916.0,"=""08043"""
258,CO,G0800450,Rifle Garfield Rgnl,725717,39.53,-107.72,81650.0,"=""08045"""
259,CO,G0800470,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08047"""
260,CO,G0800490,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08049"""
261,CO,G0800510,Gunnison Co   Awos,724677,38.53,-106.93,,"=""08051"""
262,CO,G0800530,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08053"""
263,CO,G0800550,Pueblo Memorial Ap,724640,38.28,-104.5,81006.0,"=""08055"""
264,CO,G0800570,Hayden Yampa  Awos,725715,40.48,-107.22,81639.0,"=""08057"""
265,CO,G0800590,Denver Centennial  Golden   Nr,724666,39.74,-105.18,80401.0,"=""08059"""
266,CO,G0800610,Lamar Municipal,724636,38.07,-102.68,,"=""08061"""
267,CO,G0800630,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08063"""
268,CO,G0800650,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08065"""
269,CO,G0800670,Durango La Plata Co,724625,37.15,-107.75,,"=""08067"""
270,CO,G0800690,Fort Collins  Awos,724769,40.45,-105.02,80538.0,"=""08069"""
271,CO,G0800710,Trinidad Las Animas County Ap,724645,37.27,-104.33,81046.0,"=""08071"""
272,CO,G0800730,Limon,724665,39.18,-103.72,,"=""08073"""
273,CO,G0800750,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08075"""
274,CO,G0800770,Grand Junction Walker Field,724760,39.13,-108.53,81506.0,"=""08077"""
275,CO,G0800790,Gunnison Co   Awos,724677,38.53,-106.93,,"=""08079"""
276,CO,G0800810,Craig Moffat,725700,40.5,-107.53,81625.0,"=""08081"""
277,CO,G0800830,Cortez Montezuma Co,724767,37.3,-108.63,,"=""08083"""
278,CO,G0800850,Montrose Co  Arpt,724765,38.5,-107.9,81401.0,"=""08085"""
279,CO,G0800870,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08087"""
280,CO,G0800890,La Junta Municipal Ap,724635,38.05,-103.53,81030.0,"=""08089"""
281,CO,G0800910,Eagle County Ap,724675,39.65,-106.92,81637.0,"=""08091"""
282,CO,G0800930,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08093"""
283,CO,G0800950,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08095"""
284,CO,G0800970,Aspen Pitkin Co Sar,724676,39.22,-106.87,81611.0,"=""08097"""
285,CO,G0800990,Lamar Municipal,724636,38.07,-102.68,,"=""08099"""
286,CO,G0801010,Pueblo Memorial Ap,724640,38.28,-104.5,81006.0,"=""08101"""
287,CO,G0801030,Craig Moffat,725700,40.5,-107.53,81625.0,"=""08103"""
288,CO,G0801050,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08105"""
289,CO,G0801070,Hayden Yampa  Awos,725715,40.48,-107.22,81639.0,"=""08107"""
290,CO,G0801090,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08109"""
291,CO,G0801110,Alamosa San Luis Valley Rgnl,724620,37.43,-105.87,81101.0,"=""08111"""
292,CO,G0801130,Montrose Co  Arpt,724765,38.5,-107.9,81401.0,"=""08113"""
293,CO,G0801150,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08115"""
294,CO,G0801170,Leadville Lake Co,724673,39.22,-106.32,80461.0,"=""08117"""
295,CO,G0801190,Colorado Springs Muni Ap,724660,38.82,-104.72,80916.0,"=""08119"""
296,CO,G0801210,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08121"""
297,CO,G0801230,Greeley Weld  Awos,724768,40.43,-104.63,,"=""08123"""
298,CO,G0801250,Akron Washington Co Ap,724698,40.17,-103.23,80720.0,"=""08125"""
299,CT,G0900010,Danbury Municipal,725086,41.37,-73.48,6813.0,"=""09001"""
300,CT,G0900030,Hartford Brainard Fd,725087,41.73,-72.65,6109.0,"=""09003"""
301,CT,G0900050,Oxford  Awos,725029,41.48,-73.13,,"=""09005"""
