,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS
0,AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112.0,"=""01001"""
1,AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605.0,"=""01003"""
2,GA,G0100050,Fort Benning Lawson,722250,32.35,-85.0,36856.0,"=""01005"""
3,AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,"=""01007"""
4,AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,"=""01009"""
5,AL,G0100110,Troy Af,722267,31.87,-86.02,,"=""01011"""
6,AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01013"""
7,AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,"=""01015"""
8,AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,"=""01017"""
9,AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,"=""01019"""
10,AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112.0,"=""01021"""
11,MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307.0,"=""01023"""
12,MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307.0,"=""01025"""
13,AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,"=""01027"""
14,AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,"=""01029"""
15,AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,"=""01031"""
16,AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,"=""01033"""
17,AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,"=""01035"""
18,AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112.0,"=""01037"""
19,AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,"=""01039"""
20,AL,G0100410,Troy Af,722267,31.87,-86.02,,"=""01041"""
