,index,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2
0,0,AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112,1001,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6
1,1,AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605,1003,SRSO,1.09,0.34,0.145,1.11,11.52,3.64,0.015,24.12,0,0,0,0,0,0,0,0,0.15,0,10.95,3.46,0.01,24.37,1.29,1.19,1.13,0,0,0,33.56,18.86,33.03,20.05
2,2,GA,G0100050,Fort Benning Lawson,722250,32.35,-85,36856,1005,SRSO,6.51,2.06,0.285,5.51,8.39,2.65,0.085,17.91,0,0,0,0,0,0,0,0,0.27,0,7.87,2.49,0.04,18.07,6.38,5.88,5.59,0,0,0,34.49,18.98,32.21,24.86
3,3,AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1007,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
4,4,AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1009,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52
5,5,AL,G0100110,Troy Af,722267,31.87,-86.02,,1011,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61
6,6,AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1013,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
7,7,AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1015,SRTV,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17
8,8,AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801,1017,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92
9,9,AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1019,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61
