,index,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2
10,10,AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112,1021,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6
11,11,MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307,1023,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73
12,12,MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307,1025,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73
13,13,AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1027,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17
14,14,AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1029,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17
15,15,AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1031,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78
16,16,AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1033,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
17,17,AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1035,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
18,18,AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112,1037,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6
19,19,AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1039,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78
20,20,AL,G0100410,Troy Af,722267,31.87,-86.02,,1041,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61
21,21,AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1043,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79
22,22,AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1045,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78
23,23,AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1047,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
24,24,AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1049,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61
25,25,AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112,1051,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6
26,26,AL,G0100530,Troy Af,722267,31.87,-86.02,,1053,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61
27,27,AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1055,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61
28,28,AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1057,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
29,29,AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1059,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
30,30,AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322,1061,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78
31,31,AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1063,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
32,32,AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1065,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
33,33,AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301,1067,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58
34,34,AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301,1069,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58
35,35,AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1071,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61
36,36,AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1073,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52
37,37,MS,G0100750,Columbus Afb,723306,33.65,-88.45,,1075,SRTV,8.47,2.68,0.32,7.1,10.56,3.33,0.11,21.04,0,0,0,0,0,0,0,0,0.295,0,10.04,3.17,0.055,21.21,8.23,7.59,7.21,0,0,0,35.85,18.98,32.93,26.57
38,38,AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1077,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
39,39,AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1079,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
40,40,AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801,1081,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92
41,41,AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1083,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79
42,42,AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1085,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
43,43,AL,G0100870,Auburn Opelika Apt,722284,32.62,-85.43,36801,1087,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92
44,44,AL,G0100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1089,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79
45,45,MS,G0100910,Meridian Naas,722345,32.55,-88.57,39309,1091,SRSO,4.56,1.44,0.23,4.77,6.92,2.18,0.06,14.09,0,0,0,0,0,0,0,0,0.215,0,6.58,2.08,0.035,14.24,5.5,5.07,4.82,0,0,0,33.33,18.96,31.75,24.03
46,46,AL,G0100930,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1093,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
47,47,AL,G0100950,Gadsen Muni  Awos,722285,33.97,-86.08,35904,1095,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61
48,48,AL,G0100970,Mobile Regional Ap,722230,30.68,-88.25,36608,1097,SRSO,2.19,0.69,0.16,2.06,11.55,3.65,0.03,24.54,0,0,0,0,0,0,0,0,0.16,0,10.92,3.45,0.02,24.75,2.38,2.2,2.09,0,0,0,33.94,18.82,33.03,21.02
49,49,AL,G0100990,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1099,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
50,50,AL,G0101010,Maxwell Afb,722265,32.38,-86.35,36112,1101,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6
51,51,AL,G0101030,Huntsville Intl Jones Field,723230,34.65,-86.78,35824,1103,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79
52,52,AL,G0101050,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1105,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
53,53,AL,G0101070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1107,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
54,54,AL,G0101090,Troy Af,722267,31.87,-86.02,,1109,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61
55,55,AL,G0101110,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1111,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17
56,56,GA,G0101130,Fort Benning Lawson,722250,32.35,-85,36856,1113,SRSO,6.51,2.06,0.285,5.51,8.39,2.65,0.085,17.91,0,0,0,0,0,0,0,0,0.27,0,7.87,2.49,0.04,18.07,6.38,5.88,5.59,0,0,0,34.49,18.98,32.21,24.86
57,57,AL,G0101150,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1115,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52
58,58,AL,G0101170,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1117,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52
59,59,MS,G0101190,Meridian Naas,722345,32.55,-88.57,39309,1119,SRSO,4.56,1.44,0.23,4.77,6.92,2.18,0.06,14.09,0,0,0,0,0,0,0,0,0.215,0,6.58,2.08,0.035,14.24,5.5,5.07,4.82,0,0,0,33.33,18.96,31.75,24.03
60,60,AL,G0101210,Anniston Metropolitan Ap,722287,33.58,-85.85,36268,1121,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17
61,61,AL,G0101230,Auburn Opelika Apt,722284,32.62,-85.43,36801,1123,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92
62,62,AL,G0101250,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401,1125,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01
63,63,AL,G0101270,Birmingham Municipal Ap,722280,33.57,-86.75,35217,1127,SRSO,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52
64,64,AL,G0101290,Mobile Regional Ap,722230,30.68,-88.25,36608,1129,SRSO,2.19,0.69,0.16,2.06,11.55,3.65,0.03,24.54,0,0,0,0,0,0,0,0,0.16,0,10.92,3.45,0.02,24.75,2.38,2.2,2.09,0,0,0,33.94,18.82,33.03,21.02
65,65,AL,G0101310,Montgomery Dannelly Field,722260,32.3,-86.4,36043,1131,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37
66,66,AL,G0101330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661,1133,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15
67,67,AK,G0200130,Cold Bay Arpt,703160,55.2,-162.72,99571,2013,AKMS,78.31,24.73,1.5,84.03,0,0,1.15,0,0,0,0,0,0,0,0,0,1.225,0,0,0,0.605,0,97.13,89.61,85.13,0,0,0,56.79,19.76,31.24,109.37
68,68,AK,G0200160,Dutch Harbor,704890,53.9,-166.55,99692,2016,AKMS,50.09,15.82,1.095,54.55,0,0,0.675,0,0,0,0,0,0,0,0,0,1,0,0,0,0.39,0,62.89,58.02,55.12,0,0,0,47,19.68,30.8,77.7
69,69,AK,G0200200,Anchorage Elmendorf,702720,61.25,-149.8,99506,2020,AKGD,55.41,17.5,1.065,48.72,0,0,0.775,0,0,0,0,0,0,0,0,0,0.845,0,0,0,0.355,0,56.56,52.17,49.57,0,0,0,48.75,19.58,30.61,71.75
70,70,AK,G0200500,Bethel Airport,702190,60.78,-161.83,99559,2050,AKMS,151.32,47.78,2.81,114.44,0,0,2.58,0,0,0,0,0,0,0,0,0,1.475,0,0,0,0.905,0,134,123.62,117.43,0,0,0,82.58,19.73,31.79,143.35
71,71,AK,G0200600,King Salmon Arpt,703260,58.68,-156.65,,2060,AKMS,92.38,29.17,1.82,76.35,0,0,1.52,0,0,0,0,0,0,0,0,0,1.175,0,0,0,0.615,0,89.09,82.18,78.07,0,0,0,61.93,19.67,31.21,101.85
72,72,AK,G0200680,Healy River Airport,702647,63.88,-149.02,99743,2068,AKGD,86.93,27.45,1.78,69.98,0,0,1.49,0,0,0,0,0,0,0,0,0,1.115,0,0,0,0.585,0,81.91,75.56,71.78,0,0,0,60.13,19.69,31.12,95.25
73,73,AK,G0200700,Dillingham  Amos,703210,59.05,-158.52,,2070,AKMS,74.89,23.65,1.445,66.03,0,0,1.125,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0.49,0,76.79,70.84,67.3,0,0,0,55.63,19.69,30.97,90.53
74,74,AK,G0200900,Fairbanks Intl Arpt,702610,64.82,-147.85,99709,2090,AKGD,166.71,52.64,3.17,104.94,0,0,3,0,0,0,0,0,0,0,0,0,1.53,0,0,0,1.04,0,123.64,114.06,108.35,0,0,0,88.23,19.63,31.99,133.69
75,75,AK,G0201100,Juneau IntL Arpt,703810,58.35,-134.58,99801,2110,AKMS,51.11,16.14,1.045,49.02,0,0,0.705,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0.35,0,56.74,52.35,49.73,0,0,0,47.32,19.62,30.65,71.97
76,76,AK,G0201220,Soldotna,702595,60.47,-151.03,,2122,AKGD,67.21,21.22,1.34,57.21,0,0,1.03,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0.445,0,66.54,61.38,58.31,0,0,0,53.01,19.64,30.84,81.02
77,77,AK,G0201300,Ketchikan Intl Ap,703950,55.37,-131.72,99901,2130,AKMS,39.7,12.54,0.905,37.96,0,0,0.545,0,0,0,0,0,0,0,0,0,0.775,0,0,0,0.275,0,43.94,40.54,38.51,0,0,0,43.4,19.56,30.46,60.1
78,78,AK,G0201500,Kodiak Airport,703500,57.75,-152.5,99619,2150,AKMS,52.57,16.6,1.105,56.6,0,0,0.725,0,0,0,0,0,0,0,0,0,0.975,0,0,0,0.405,0,65.32,60.25,57.24,0,0,0,47.84,19.64,30.8,79.9
79,79,AK,G0201640,King Salmon Arpt,703260,58.68,-156.65,,2164,AKMS,92.38,29.17,1.82,76.35,0,0,1.52,0,0,0,0,0,0,0,0,0,1.175,0,0,0,0.615,0,89.09,82.18,78.07,0,0,0,61.93,19.67,31.21,101.85
80,80,AK,G0201700,Birchwood,702746,61.42,-149.52,,2170,AKGD,61.73,19.49,1.23,54.23,0,0,0.92,0,0,0,0,0,0,0,0,0,0.93,0,0,0,0.41,0,63.04,58.16,55.25,0,0,0,51.06,19.62,30.76,77.78
81,81,AK,G0201800,Nome Municipal Arpt,702000,64.52,-165.45,,2180,AKMS,148.2,46.79,2.805,112.59,0,0,2.575,0,0,0,0,0,0,0,0,0,1.515,0,0,0,0.925,0,131.97,121.74,115.65,0,0,0,81.59,19.75,31.86,141.5
82,82,AK,G0201850,Barrow W Post W Rogers Arpt  N,700260,71.32,-156.62,,2185,AKMS,422.6,133.44,6.04,205.24,0,0,5.81,0,0,0,0,0,0,0,0,0,2.535,0,0,0,1.905,0,241.66,222.93,211.78,0,0,0,174.7,20.03,33.86,242.98
83,83,AK,G0201880,Kotzebue Ralph Wein Memorial,701330,66.88,-162.6,,2188,AKMS,258.86,81.74,4.07,153.93,0,0,3.88,0,0,0,0,0,0,0,0,0,1.905,0,0,0,1.335,0,181.08,167.04,158.69,0,0,0,119.1,19.77,32.66,186.81
84,84,AK,G0202200,Sitka Japonski Ap,703710,57.05,-135.37,99835,2220,AKMS,35.09,11.08,0.875,35.4,0,0,0.465,0,0,0,0,0,0,0,0,0,0.795,0,0,0,0.255,0,40.87,37.7,35.82,0,0,0,41.83,19.57,30.47,57.27
85,85,AK,G0202400,Big Delta Allen Aaf,702670,64,-145.72,99731,2240,AKMS,172.43,54.45,3.13,116.41,0,0,2.95,0,0,0,0,0,0,0,0,0,1.52,0,0,0,1.02,0,137.23,126.59,120.26,0,0,0,89.95,19.68,31.96,146.27
86,86,AK,G0202610,Valdez Pioneer Fiel,702756,61.13,-146.27,,2261,AKGD,48.59,15.34,1.02,45.13,0,0,0.63,0,0,0,0,0,0,0,0,0,0.885,0,0,0,0.325,0,52.19,48.15,45.74,0,0,0,46.41,19.64,30.63,67.79
87,87,NM,G0400010,Gallup Sen Clarke Fld,723627,35.52,-108.78,87301,4001,NWPP,22.66,7.16,0.585,17.67,0.94,0.3,0.295,1.81,0,0,0,0,0,0,0,0,0.5,0,0.89,0.28,0.13,1.82,20.56,18.96,18.01,0,0,0,37.75,19.24,30.32,38.2
88,88,AZ,G0400030,Douglas Bisbee Douglas Intl A,722735,31.47,-109.6,,4003,AZNM,1.47,0.46,0.21,1.22,9.97,3.15,0.02,18.35,0,0,0,0,0,0,0,0,0.2,0,9.52,3,0.01,18.46,1.43,1.32,1.25,0,0,0,33.25,18.86,32.64,20.18
89,89,AZ,G0400050,Flagstaff Pulliam Arpt,723755,35.13,-111.67,86005,4005,NWPP,33.93,10.71,0.76,29.03,0,0,0.45,0,0,0,0,0,0,0,0,0,0.645,0,0,0,0.215,0,33.66,31.05,29.5,0,0,0,41.34,19.44,30.27,50.49
