State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes
AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112
AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605
GA,G0100050,Fort Benning Lawson,722250,32.35,-85,36856
AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217
AL,G0100110,Troy Af,722267,31.87,-86.02,
AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043
AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801
AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904
AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112
MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307
MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307
AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268
AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043
AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112
AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
AL,G0100410,Troy Af,722267,31.87,-86.02,
AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043
AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904
AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112
AL,G0100530,Troy Af,722267,31.87,-86.02,
AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904
AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322
AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401
AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301
AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301
AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904
AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217
MS,G0100750,Columbus Afb,723306,33.65,-88.45,
AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661
AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801
AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824
AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043
