,Unnamed: 0,index,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2,STATE,h1_emissions,c1_emissions,t1_emissions,h2_emissions,c2_emissions,t2_emissions,h1_cost,c1_cost,t1_cost,h2_cost,c2_cost,t2_cost,emissions_comparison,cost_comparison
0,0,0,AL,G0100010,Maxwell Afb,722265,32.38,-86.35,36112.0,1001,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.00026476353194381826,0.000440628359731318,0.0007053918916751363,0.00028384224593861954,0.00042001416746318613,0.0007038564134018057,0.04947519250649252,0.09348351291282012,0.14295870541931263,0.08282316995450495,0.08911001523268818,0.17193318518719314,0.0021815220321847045,-0.16852174137490905
1,1,1,AL,G0100030,Mobile Downtown Ap,722235,30.63,-88.07,36605.0,1003,SRSO,1.09,0.34,0.145,1.11,11.52,3.64,0.015,24.12,0,0,0,0,0,0,0,0,0.15,0,10.95,3.46,0.01,24.37,1.29,1.19,1.13,0,0,0,33.56,18.86,33.03,20.05,AL,6.248677031277462e-05,0.00046897287409999926,0.0005314596444127739,5.967707997649422e-05,0.000445781907798351,0.0005054589877748452,0.009293682570280364,0.09949707222300153,0.10879075479328189,0.017413351986901218,0.0945768873328531,0.11199023931975433,0.0514396959333733,-0.02856931591455283
2,2,2,GA,G0100050,Fort Benning Lawson,722250,32.35,-85.0,36856.0,1005,SRSO,6.51,2.06,0.285,5.51,8.39,2.65,0.085,17.91,0,0,0,0,0,0,0,0,0.27,0,7.87,2.49,0.04,18.07,6.38,5.88,5.59,0,0,0,34.49,18.98,32.21,24.86,AL,0.0003021267554298073,0.00034142255944093355,0.0006435493148707408,0.00029487498341326557,0.00032080836717280167,0.0006156833505860672,0.056308782631698674,0.07243605532718518,0.12874483795888386,0.0860424451117472,0.06806255764705324,0.15410500275880046,0.04526022062826293,-0.16456418900046615
3,3,3,AL,G0100070,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,1007,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.00020549772917293925,0.0003594599776755489,0.0005649577068484881,0.00020360415521392144,0.00034142255944093355,0.0005450267146548549,0.037174730281121456,0.07626286579730063,0.11343759607842208,0.059410259720015915,0.07243605532718518,0.1318463150472011,0.03656883535746449,-0.13962255192485798
4,4,4,AL,G0100090,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,1009,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52,AL,0.00025621922889857275,0.0003069557098685871,0.0005631749387671599,0.0002778243891342672,0.00029046635355333246,0.0005682907426875997,0.04810847448145129,0.06614915241199552,0.11425762689344682,0.08106720168691828,0.06259568554688832,0.1436628872338066,-0.009002089135300434,-0.2046823706981727
5,5,5,AL,G0100110,Troy Af,722267,31.87,-86.02,,1011,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.00013463644325123605,0.0003671902997760984,0.0005018267430273345,0.00013439880196386935,0.0003478644945247248,0.0004822632964885941,0.02296086282069266,0.0779029274273501,0.10086379024804276,0.039216624642769135,0.07380277335222642,0.11301939799499555,0.04056590389769177,-0.10755328698079807
6,6,6,AL,G0100130,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,1013,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.00019261385900535684,0.00035301804259175773,0.0005456319015971145,0.0002221592136940079,0.00033626901137390056,0.0005584282250679085,0.034987981441055485,0.0748961477722594,0.10988412921331489,0.06482449521174151,0.07134268090715219,0.1361671761188937,-0.022914893797206966,-0.193020430141181
7,7,7,AL,G0100150,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,1015,SRTV,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.00023148519442569074,0.0002295825763893152,0.0004610677708150059,0.0002597708187212101,0.00021689845614681158,0.00047666927486802167,0.04291494598629462,0.04947519250649252,0.09239013849278714,0.07579929688415823,0.04674175645641006,0.12254105334056829,-0.03273024899147411,-0.24604745940925762
8,8,8,AL,G0100170,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,1017,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.0002770032086030215,0.0002357748240667579,0.0005127780326697794,0.00029938837601652986,0.00021773740583214252,0.0005171257818486724,0.05166194134655848,0.05002187971650902,0.1016838210630675,0.08735942131243721,0.046195069246393564,0.13355449055883079,-0.008407527397590264,-0.238634203630347
9,9,9,AL,G0100190,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,1019,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.00037481575316598143,0.00015728309100704465,0.0005320988441730261,0.00042827080924307616,0.00014967261886154247,0.0005779434281046186,0.07243605532718518,0.033894607021022496,0.10633066234820768,0.1249664083765852,0.03225454539097303,0.15722095376755824,-0.07932365297749136,-0.32368644382216893
