,Unnamed: 0,index,State,Station_Number,Station_Name,Station_WMO,Latitude,Longitude,ZIP Codes,FIPS,SUBGRID,el_src_h1,el_sit_h1,el_sit_sub_h1,el_del_h1,el_src_c1,el_sit_c1,el_sit_sub_c1,el_del_c1,ng_src_h1,ng_sit_h1,ng_del_h1,ng_src_c1,ng_sit_c1,ng_del_c1,el_src_h2,el_sit_h2,el_sit_sub_h2,el_del_h2,el_src_c2,el_sit_c2,el_sit_sub_c2,el_del_c2,ng_src_h2,ng_sit_h2,ng_del_h2,ng_src_c2,ng_sit_c2,ng_del_c2,el_sit_t1,ng_sit_t1,el_sit_t2,ng_sit_t2,STATE,h1_emissions,c1_emissions,t1_emissions,h2_emissions,c2_emissions,t2_emissions,h1_cost,c1_cost,t1_cost,h2_cost,c2_cost,t2_cost,emissions_comparison,cost_comparison
10,10,10,AL,G0100210,Maxwell Afb,722265,32.38,-86.35,36112.0,1021,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.00026476353194381826,0.000440628359731318,0.0007053918916751363,0.00028384224593861954,0.00042001416746318613,0.0007038564134018057,0.04947519250649252,0.09348351291282012,0.14295870541931263,0.08282316995450495,0.08911001523268818,0.17193318518719314,0.0021815220321847045,-0.16852174137490905
11,11,11,MS,G0100230,Meridian Key Field,722340,32.33,-88.75,39307.0,1023,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73,AL,0.000257677403351648,0.0003040593359549446,0.0005617367393065926,0.00028785415047485446,0.00029117546578736215,0.0005790296162622166,0.04783513087644305,0.06450909078194605,0.1123442216583891,0.08399381546622942,0.061775654731863576,0.145769470198093,-0.02986527194801182,-0.22930211994514868
12,12,12,MS,G0100250,Meridian Key Field,722340,32.33,-88.75,39307.0,1025,SRSO,5.53,1.75,0.25,5.39,7.47,2.36,0.07,14.83,0,0,0,0,0,0,0,0,0.24,0,7.14,2.26,0.04,14.98,6.22,5.74,5.45,0,0,0,33.85,18.99,31.95,24.73,AL,0.000257677403351648,0.0003040593359549446,0.0005617367393065926,0.00028785415047485446,0.00029117546578736215,0.0005790296162622166,0.04783513087644305,0.06450909078194605,0.1123442216583891,0.08399381546622942,0.061775654731863576,0.145769470198093,-0.02986527194801182,-0.22930211994514868
13,13,13,AL,G0100270,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,1027,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.00023513063055837882,0.0002331980500332414,0.00046832868059162023,0.0002597708187212101,0.000220314179865659,0.0004800849985868691,0.04291494598629462,0.04947519250649252,0.09239013849278714,0.07579929688415823,0.04674175645641006,0.12254105334056829,-0.02448799281346763,-0.24604745940925762
14,14,14,AL,G0100290,Anniston Metropolitan Ap,722287,33.58,-85.85,36268.0,1029,SRSO,4.96,1.57,0.255,4.87,5.74,1.81,0.065,12.38,0,0,0,0,0,0,0,0,0.235,0,5.41,1.71,0.035,12.52,5.62,5.18,4.93,0,0,0,33.11,18.98,31.4,24.17,AL,0.00023513063055837882,0.0002331980500332414,0.00046832868059162023,0.0002597708187212101,0.000220314179865659,0.0004800849985868691,0.04291494598629462,0.04947519250649252,0.09239013849278714,0.07579929688415823,0.04674175645641006,0.12254105334056829,-0.02448799281346763,-0.24604745940925762
15,15,15,AL,G0100310,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,1031,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.00023384224354162052,0.0003465761075079664,0.0005804183510495869,0.00024372320057627054,0.00032725030225659287,0.0005709735028328635,0.04346163319631111,0.07352942974721816,0.11699106294352926,0.07111671483726045,0.06942927567209448,0.14054599050935493,0.016541657659879517,-0.16759587008110216
16,16,16,AL,G0100330,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,1033,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.0002917347655775828,0.0002841242934320807,0.0005758590590096634,0.0003109226015582052,0.00026763493711682597,0.0005785575386750312,0.055488751816673926,0.0612289675218471,0.11671771933852103,0.09072502715864501,0.05767550065673989,0.1484005278153849,-0.004664150901131786,-0.2134952546548778
17,17,17,AL,G0100350,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,1035,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.00019261385900535684,0.00035301804259175773,0.0005456319015971145,0.0002221592136940079,0.00033626901137390056,0.0005584282250679085,0.034987981441055485,0.0748961477722594,0.10988412921331489,0.06482449521174151,0.07134268090715219,0.1361671761188937,-0.022914893797206966,-0.193020430141181
18,18,18,AL,G0100370,Maxwell Afb,722265,32.38,-86.35,36112.0,1037,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.00026476353194381826,0.000440628359731318,0.0007053918916751363,0.00028384224593861954,0.00042001416746318613,0.0007038564134018057,0.04947519250649252,0.09348351291282012,0.14295870541931263,0.08282316995450495,0.08911001523268818,0.17193318518719314,0.0021815220321847045,-0.16852174137490905
19,19,19,AL,G0100390,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,1039,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.00023384224354162052,0.0003465761075079664,0.0005804183510495869,0.00024372320057627054,0.00032725030225659287,0.0005709735028328635,0.04346163319631111,0.07352942974721816,0.11699106294352926,0.07111671483726045,0.06942927567209448,0.14054599050935493,0.016541657659879517,-0.16759587008110216
20,20,20,AL,G0100410,Troy Af,722267,31.87,-86.02,,1041,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.00013463644325123605,0.0003671902997760984,0.0005018267430273345,0.00013439880196386935,0.0003478644945247248,0.0004822632964885941,0.02296086282069266,0.0779029274273501,0.10086379024804276,0.039216624642769135,0.07380277335222642,0.11301939799499555,0.04056590389769177,-0.10755328698079807
21,21,21,AL,G0100430,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,1043,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.0005574670846580332,0.00022831416436506485,0.000785781249023098,0.0006383943093283795,0.00021689845614681158,0.0008552927654751911,0.11043081642333137,0.049201848901484276,0.15963266532481565,0.1862789670531534,0.04674175645641006,0.23302072350956343,-0.08127219036334682,-0.31494219518091854
22,22,22,AL,G0100450,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,1045,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.00023384224354162052,0.0003465761075079664,0.0005804183510495869,0.00024372320057627054,0.00032725030225659287,0.0005709735028328635,0.04346163319631111,0.07352942974721816,0.11699106294352926,0.07111671483726045,0.06942927567209448,0.14054599050935493,0.016541657659879517,-0.16759587008110216
23,23,23,AL,G0100470,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,1047,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.00019261385900535684,0.00035301804259175773,0.0005456319015971145,0.0002221592136940079,0.00033626901137390056,0.0005584282250679085,0.034987981441055485,0.0748961477722594,0.10988412921331489,0.06482449521174151,0.07134268090715219,0.1361671761188937,-0.022914893797206966,-0.193020430141181
24,24,24,AL,G0100490,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,1049,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.00037481575316598143,0.00015728309100704465,0.0005320988441730261,0.00042827080924307616,0.00014967261886154247,0.0005779434281046186,0.07243605532718518,0.033894607021022496,0.10633066234820768,0.1249664083765852,0.03225454539097303,0.15722095376755824,-0.07932365297749136,-0.32368644382216893
25,25,25,AL,G0100510,Maxwell Afb,722265,32.38,-86.35,36112.0,1051,SRSO,5.74,1.81,0.245,5.3,10.84,3.42,0.075,21.74,0,0,0,0,0,0,0,0,0.23,0,10.31,3.26,0.04,21.93,6.14,5.66,5.38,0,0,0,34.98,18.94,32.95,24.6,AL,0.00026476353194381826,0.000440628359731318,0.0007053918916751363,0.00028384224593861954,0.00042001416746318613,0.0007038564134018057,0.04947519250649252,0.09348351291282012,0.14295870541931263,0.08282316995450495,0.08911001523268818,0.17193318518719314,0.0021815220321847045,-0.16852174137490905
26,26,26,AL,G0100530,Troy Af,722267,31.87,-86.02,,1053,SRSO,2.65,0.84,0.205,2.52,9.03,2.85,0.035,19.03,0,0,0,0,0,0,0,0,0.2,0,8.54,2.7,0.02,19.21,2.91,2.68,2.55,0,0,0,33.34,18.93,32.33,21.61,AL,0.00013463644325123605,0.0003671902997760984,0.0005018267430273345,0.00013439880196386935,0.0003478644945247248,0.0004822632964885941,0.02296086282069266,0.0779029274273501,0.10086379024804276,0.039216624642769135,0.07380277335222642,0.11301939799499555,0.04056590389769177,-0.10755328698079807
27,27,27,AL,G0100550,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,1055,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.00037481575316598143,0.00015728309100704465,0.0005320988441730261,0.00042827080924307616,0.00014967261886154247,0.0005779434281046186,0.07243605532718518,0.033894607021022496,0.10633066234820768,0.1249664083765852,0.03225454539097303,0.15722095376755824,-0.07932365297749136,-0.32368644382216893
28,28,28,AL,G0100570,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,1057,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.00020549772917293925,0.0003594599776755489,0.0005649577068484881,0.00020360415521392144,0.00034142255944093355,0.0005450267146548549,0.037174730281121456,0.07626286579730063,0.11343759607842208,0.059410259720015915,0.07243605532718518,0.1318463150472011,0.03656883535746449,-0.13962255192485798
29,29,29,AL,G0100590,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,1059,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.0002917347655775828,0.0002841242934320807,0.0005758590590096634,0.0003109226015582052,0.00026763493711682597,0.0005785575386750312,0.055488751816673926,0.0612289675218471,0.11671771933852103,0.09072502715864501,0.05767550065673989,0.1484005278153849,-0.004664150901131786,-0.2134952546548778
30,30,30,AL,G0100610,Cairns Field Fort Rucker,722269,31.27,-85.72,36322.0,1061,SRSO,5.05,1.59,0.225,4.55,8.53,2.69,0.065,18.56,0,0,0,0,0,0,0,0,0.215,0,8.04,2.54,0.035,18.75,5.27,4.86,4.62,0,0,0,33.99,18.92,32.2,23.78,AL,0.00023384224354162052,0.0003465761075079664,0.0005804183510495869,0.00024372320057627054,0.00032725030225659287,0.0005709735028328635,0.04346163319631111,0.07352942974721816,0.11699106294352926,0.07111671483726045,0.06942927567209448,0.14054599050935493,0.016541657659879517,-0.16759587008110216
31,31,31,AL,G0100630,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,1063,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.00020549772917293925,0.0003594599776755489,0.0005649577068484881,0.00020360415521392144,0.00034142255944093355,0.0005450267146548549,0.037174730281121456,0.07626286579730063,0.11343759607842208,0.059410259720015915,0.07243605532718518,0.1318463150472011,0.03656883535746449,-0.13962255192485798
32,32,32,AL,G0100650,Tuscaloosa Municipal Ap,722286,33.22,-87.62,35401.0,1065,SRSO,4.31,1.36,0.235,3.81,8.82,2.79,0.055,17.9,0,0,0,0,0,0,0,0,0.23,0,8.39,2.65,0.03,18.07,4.4,4.06,3.86,0,0,0,33.85,18.95,32.32,23.01,AL,0.00020549772917293925,0.0003594599776755489,0.0005649577068484881,0.00020360415521392144,0.00034142255944093355,0.0005450267146548549,0.037174730281121456,0.07626286579730063,0.11343759607842208,0.059410259720015915,0.07243605532718518,0.1318463150472011,0.03656883535746449,-0.13962255192485798
33,33,33,AL,G0100670,Dothan Municipal Ap,722268,31.23,-85.43,36301.0,1067,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58,AL,0.0001294828951842031,0.000462530939016208,0.0005920138342004111,0.0001349002900308987,0.00043933997271455985,0.0005742402627454586,0.022140832005667924,0.09813035419796029,0.12027118620362821,0.039362955331734686,0.09321016930781188,0.13257312463954657,0.030951454657631543,-0.09279360707055921
34,34,34,AL,G0100690,Dothan Municipal Ap,722268,31.23,-85.43,36301.0,1069,SRSO,2.56,0.81,0.195,2.52,11.38,3.59,0.035,23.58,0,0,0,0,0,0,0,0,0.18,0,10.8,3.41,0.02,23.81,2.92,2.69,2.56,0,0,0,34.04,18.89,33.03,21.58,AL,0.0001294828951842031,0.000462530939016208,0.0005920138342004111,0.0001349002900308987,0.00043933997271455985,0.0005742402627454586,0.022140832005667924,0.09813035419796029,0.12027118620362821,0.039362955331734686,0.09321016930781188,0.13257312463954657,0.030951454657631543,-0.09279360707055921
35,35,35,AL,G0100710,Gadsen Muni  Awos,722285,33.97,-86.08,35904.0,1071,SRTV,8.39,2.65,0.305,8.01,3.93,1.24,0.105,8.09,0,0,0,0,0,0,0,0,0.29,0,3.73,1.18,0.06,8.19,9.25,8.54,8.11,0,0,0,33.72,19.07,30.94,27.61,AL,0.00037481575316598143,0.00015728309100704465,0.0005320988441730261,0.00042827080924307616,0.00014967261886154247,0.0005779434281046186,0.07243605532718518,0.033894607021022496,0.10633066234820768,0.1249664083765852,0.03225454539097303,0.15722095376755824,-0.07932365297749136,-0.32368644382216893
36,36,36,AL,G0100730,Birmingham Municipal Ap,722280,33.57,-86.75,35217.0,1073,SRTV,5.57,1.76,0.26,5.2,7.66,2.42,0.07,15.88,0,0,0,0,0,0,0,0,0.25,0,7.26,2.29,0.04,16.04,6.01,5.54,5.26,0,0,0,33.92,18.98,31.99,24.52,AL,0.00025621922889857275,0.0003069557098685871,0.0005631749387671599,0.0002778243891342672,0.00029046635355333246,0.0005682907426875997,0.04810847448145129,0.06614915241199552,0.11425762689344682,0.08106720168691828,0.06259568554688832,0.1436628872338066,-0.009002089135300434,-0.2046823706981727
37,37,37,MS,G0100750,Columbus Afb,723306,33.65,-88.45,,1075,SRTV,8.47,2.68,0.32,7.1,10.56,3.33,0.11,21.04,0,0,0,0,0,0,0,0,0.295,0,10.04,3.17,0.055,21.21,8.23,7.59,7.21,0,0,0,35.85,18.98,32.93,26.57,AL,0.00038052360727510804,0.00042238120407536993,0.000802904811350478,0.0003806294428752867,0.00040208661168736413,0.0007827160545626508,0.07325608614220992,0.0910234204677459,0.16427950660995583,0.11106499292485736,0.08664992278761398,0.19771491571247135,0.025793206450975253,-0.16910918926895357
38,38,38,AL,G0100770,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,1077,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.0002917347655775828,0.0002841242934320807,0.0005758590590096634,0.0003109226015582052,0.00026763493711682597,0.0005785575386750312,0.055488751816673926,0.0612289675218471,0.11671771933852103,0.09072502715864501,0.05767550065673989,0.1484005278153849,-0.004664150901131786,-0.2134952546548778
39,39,39,AL,G0100790,Muscle Shoals Regional Ap,723235,34.75,-87.6,35661.0,1079,SRTV,6.44,2.03,0.27,5.8,7.08,2.24,0.09,15.17,0,0,0,0,0,0,0,0,0.245,0,6.67,2.11,0.045,15.32,6.72,6.2,5.89,0,0,0,34.04,18.95,31.81,25.15,AL,0.0002917347655775828,0.0002841242934320807,0.0005758590590096634,0.0003109226015582052,0.00026763493711682597,0.0005785575386750312,0.055488751816673926,0.0612289675218471,0.11671771933852103,0.09072502715864501,0.05767550065673989,0.1484005278153849,-0.004664150901131786,-0.2134952546548778
40,40,40,AL,G0100810,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,1081,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.0002770032086030215,0.0002357748240667579,0.0005127780326697794,0.00029938837601652986,0.00021773740583214252,0.0005171257818486724,0.05166194134655848,0.05002187971650902,0.1016838210630675,0.08735942131243721,0.046195069246393564,0.13355449055883079,-0.008407527397590264,-0.238634203630347
41,41,41,AL,G0100830,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,1083,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.0005574670846580332,0.00022831416436506485,0.000785781249023098,0.0006383943093283795,0.00021689845614681158,0.0008552927654751911,0.11043081642333137,0.049201848901484276,0.15963266532481565,0.1862789670531534,0.04674175645641006,0.23302072350956343,-0.08127219036334682,-0.31494219518091854
42,42,42,AL,G0100850,Montgomery Dannelly Field,722260,32.3,-86.4,36043.0,1085,SRSO,4.05,1.28,0.215,4.16,8.68,2.74,0.055,17.47,0,0,0,0,0,0,0,0,0.21,0,8.26,2.61,0.03,17.63,4.8,4.43,4.21,0,0,0,33.71,18.94,32.27,23.37,AL,0.00019261385900535684,0.00035301804259175773,0.0005456319015971145,0.0002221592136940079,0.00033626901137390056,0.0005584282250679085,0.034987981441055485,0.0748961477722594,0.10988412921331489,0.06482449521174151,0.07134268090715219,0.1361671761188937,-0.022914893797206966,-0.193020430141181
43,43,43,AL,G0100870,Auburn Opelika Apt,722284,32.62,-85.43,36801.0,1087,SRSO,5.99,1.89,0.26,5.59,5.79,1.83,0.08,13.6,0,0,0,0,0,0,0,0,0.24,0,5.35,1.69,0.04,13.73,6.47,5.97,5.67,0,0,0,33.48,18.95,31.39,24.92,AL,0.0002770032086030215,0.0002357748240667579,0.0005127780326697794,0.00029938837601652986,0.00021773740583214252,0.0005171257818486724,0.05166194134655848,0.05002187971650902,0.1016838210630675,0.08735942131243721,0.046195069246393564,0.13355449055883079,-0.008407527397590264,-0.238634203630347
44,44,44,AL,G0100890,Huntsville Intl Jones Field,723230,34.65,-86.78,35824.0,1089,SRTV,12.78,4.04,0.355,11.92,5.7,1.8,0.175,11.5,0,0,0,0,0,0,0,0,0.315,0,5.43,1.71,0.085,11.63,13.79,12.73,12.09,0,0,0,35.78,19.07,31.53,31.79,AL,0.0005574670846580332,0.00022831416436506485,0.000785781249023098,0.0006383943093283795,0.00021689845614681158,0.0008552927654751911,0.11043081642333137,0.049201848901484276,0.15963266532481565,0.1862789670531534,0.04674175645641006,0.23302072350956343,-0.08127219036334682,-0.31494219518091854
